,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14
potassium_cv_48h,0.018688448528000765,0.017733301154316233,0.01512495520919356,0.014633737118543344,0.014565615269271416,0.018690127013767207,0.015651212831761675,0.015423337177730905,0.015771220667309724,0.01630904750515084,0.01321826518008543,0.015488990843029961,0.018913209174286003,0.015701160058578002,0.01529301148449842
glucose_slope_48h,0.012758090557180704,0.015215241485969823,0.015979878551491952,0.016725512477292277,0.011838181048219213,0.015764423503764603,0.015260922137190604,0.013399450781286659,0.017402674514427032,0.013191174785238693,0.01540522310130384,0.013022068354210041,0.01359696410336462,0.014760743233099201,0.012283910094002584
glucose_delta_48h,0.009747538151550808,0.012227873456585521,0.011717063792960575,0.013218986857176615,0.010169946734916769,0.012225430008778316,0.01150171619459055,0.011747969335641848,0.013997079673354472,0.010239996598469324,0.014871129441653514,0.011993527387063685,0.009768704611562753,0.011225532263794828,0.010756080227285577
glucose_cv_48h,0.013688070788961849,0.012382434294326887,0.013198302314201266,0.01364669671621319,0.015213816886828395,0.012452402066317246,0.01353006537372542,0.01590610299617829,0.011495818629177423,0.013873390695793207,0.012456119463880876,0.013196094334812631,0.01469094038080821,0.012808894019191799,0.013257961799894748
creatinine_slope_48h,0.01340926995420023,0.014528816356054845,0.011749559403757765,0.011184057493016004,0.01541737666136588,0.012531306471522074,0.012646315977936662,0.013913420926192277,0.013779102508802906,0.015103952576799966,0.01407661327843868,0.015373438274451931,0.011958183317846554,0.014085832108752873,0.01248164468586059
creatinine_delta_48h,0.011549815274045618,0.011597344213013653,0.009377722602200426,0.010143343568495923,0.013112834838961302,0.009707356135613049,0.010552314536340854,0.011990777908185394,0.011224563771452136,0.012832710713604055,0.01229167206122391,0.01425680242608417,0.010119074384922374,0.011853079721681167,0.010360015738135088
creatinine_cv_48h,0.010444046519488511,0.012569445051114346,0.010474404461455684,0.011889984917889198,0.014190530516885699,0.014096287152963094,0.011518787294914871,0.011560410441518036,0.011096390484894213,0.010846362008555826,0.011980382126414935,0.011057962851711147,0.011845620413798708,0.010868958102760614,0.014324371545523351
platelets_x_1000_slope_48h,0.010164163449163887,0.010607625259434553,0.011092719037928323,0.012607243248276738,0.011188751423462187,0.012512985438556619,0.011996681335552742,0.012118772927009719,0.00988548980611649,0.011073754596459264,0.009884720677390628,0.011387252970128898,0.011259993265295906,0.011087518439169596,0.012005846163752644
platelets_x_1000_delta_48h,0.010945973786234357,0.010772639526750253,0.00987286929103251,0.010472290435608189,0.010363191911618372,0.012139108923380522,0.009934166045171996,0.010206993678682465,0.010929562559769021,0.009453730985768525,0.009635452462622767,0.00983637306545734,0.011396150231979254,0.010473875239155762,0.011145821140805177
platelets_x_1000_cv_48h,0.0135389019764554,0.014190493435020927,0.011508870305969594,0.013056373083111177,0.010801401355258743,0.011828909331597798,0.012979267686368121,0.012468318736037678,0.011243437087006045,0.012530558801799378,0.013567009198671232,0.012521045465127889,0.012229814413453586,0.013620458383294553,0.011930683067611556
